,id,hd_nr,origo,origo_clean,pleiades_id,pleiades_title_list,pleiades_Latitude,pleiades_Longitude,pleiades_title,MachineGeocoded,PossiblePlacename1,Note,Source,Lat1,Long1,Certainty,SourceURL(e.g. Pleiades id number or URL),PossiblePlace2,Note,Lat2,Long2,Link_or_Ref
4811,HD002130/1,HD002130,Olisiponensis*,Olisiponensis,256338,,38.707166,-9.135507,Olisipo,,,,Pleiades,,,certain,,,,,,
4812,HD002131/1,HD002131,Arausiensis,Arausiensis,197133,,43.804229,15.79233,Arausa,,,,Pleiades,,,certain,,,,,,
5256,HD002325/1,HD002325,Putiolanus* (= Puteolanus),Puteolanus,433059,,40.73166419,14.27575533,Puteolanus Sinus/Crater,,,,Pleiades,,,certain,,,,,,
6063,HD002718/1,HD002718,natione* Bessus,Bessus,216733,,42.42940315,24.43016021,Bessi,,,,Pleiades,,,certain,,,,,,
6075,HD002724/1,HD002724,Veronensis,Veronensis,383816,,45.44212955,10.99573601,Verona,,,,Pleiades,,,certain,,,,,,
6272,HD002821/1,HD002821,Dertona,Dertona,383633,['Dertona'],44.897171,8.865452,Dertona,Y,,,Pleiades,,,certain,,,,,,
6296,HD002837/1,HD002837,Catintaninus?,Catintaninus,462270,,37.502959,15.088142,Katane/Catina,,,,Pleiades,,,wild guess,,,,,,
6427,HD002899/1,HD002899,Balatucelo natione*,Balatucelo,240871,,,,Balatucelum,,,,Pleiades,,,certain,,,,,,
6451,HD002914/1,HD002914,cives (= civis) Camunna,Camunna,383608,,45.922988,10.2011472,Camunni,,,,Pleiades,,,certain,,,,,,
6488,HD002934/1,HD002934,Cluniesis* (= Cluniensis*),Cluniensis,187350,,47.260687,9.617966,Clunia,,,,Pleiades,,,uncertain (name could be interpreted differently),,,,,,
6676,HD003007/1,HD003007,Alexandrinus,Alandrinus,614587,,,,Alandrus,,Alexandria,,Pleiades,31.201435,29.909773,uncertain (another good variant exists),https://pleiades.stoa.org/places/727070,,,,,
6703,HD003017/1,HD003017,Rusucuru+ (= Rusuccuru+),Rusuccuru,295334,['Rusuccuru'],36.9128545,3.9096445,Rusuccuru,Y,,,Pleiades,,,certain,,,,,,
6724,HD003029/1,HD003029,Edebensis,Edebensis,265886,,38.640276,-3.362253,Edeba,,,,Pleiades,,,certain,,,,,,
6734,HD003034/5,HD003034,Ceramieta,Ceramieta,481784,,41.348049,21.547264,Ceramia(e)?,,,,Pleiades,,,uncertain (name could be interpreted differently),,,,,,
6746,HD003040/5,HD003040,Arna*,Arna,413030,['Arna'],43.127841,12.4860485,Arna,Y,,,Pleiades,,,certain,,,,,,
6744,HD003040/3,HD003040,Aveia,Aveia,413046,['Aveia'],42.295745,13.487411,Aveia,Y,,,Pleiades,,,certain,,,,,,
6750,HD003040/9,HD003040,Capua,Capua,432754,['Capua'],41.0860925,14.250207,Capua,Y,,,Pleiades,,,certain,,,,,,
6752,HD003040/11,HD003040,Carteia*,Carteia,256063,"['Carteia', 'Calpe', 'Karpessos']",36.183163,-5.410359,Carteia/Calpe/Karpessos,Y,,,Pleiades,,,certain,,,,,,
6756,HD003040/15,HD003040,Cius,Cius,216770,['Cius'],44.77792,28.09352,Cius,Y,,,Pleiades,,,certain,,,,,,
6743,HD003040/2,HD003040,Clusio+,Clusio,413096,,43.016367,11.9487025,Clusium,,,,Pleiades,,,certain,,,,,,
6751,HD003040/10,HD003040,Cremona*,Cremona,383628,['Cremona'],45.133639,10.026149,Cremona,Y,,,Pleiades,,,certain,,,,,,
6757,HD003040/16,HD003040,Falerio,Falerio,413127,['Falerio'],43.105492,13.470265,Falerio,Y,,,Pleiades,,,certain,,,,,,
6747,HD003040/6,HD003040,Laude Pompeia*,Laude Pompeia,383691,,45.303456,9.418776,Laus Pompeia,,,,Pleiades,,,certain,,,,,,
6745,HD003040/4,HD003040,Mantua*,Mantua,383704,['Mantua'],45.160646,10.7976015,Mantua,Y,,,Pleiades,,,certain,,,,,,
6754,HD003040/13,HD003040,Parma,Parma,383737,['Parma'],44.801507,10.327967,Parma,Y,,,Pleiades,,,certain,,,,,,
6753,HD003040/12,HD003040,Roma,Roma,423025,['Roma'],41.891775,12.486137,Roma,Y,,,Pleiades,,,certain,,,,,,
6749,HD003040/8,HD003040,Ticino*,Ticino,383799,,45.1803284,9.1552338,Ticinus (River),,Ticinum,,Pleiades,45.185899,9.156562,uncertain (another good variant exists),https://pleiades.stoa.org/places/383798,,,,,
6812,HD003056/1,HD003056,Aquicaldensis*,Aquicaldensis,246168,,41.634509,2.161563,Aquae Calidae,,,,Pleiades,,,uncertain (another good variant exists),,,,,,
6880,HD003096/1,HD003096,Uxamensis+ Argaelorum+,Uxamensis Argaelorum,246721,,41.5750018,-3.0947549,Uxama (Argaela),,,,Pleiades,,,certain,,,,,,
6899,HD003108/1,HD003108,Arausiensis+,Arausiensis,197133,,43.804229,15.79233,Arausa,,,,Pleiades,,,certain,,,,,,
6923,HD003126/2,HD003126,nomo Arsenoite (= nomo Arsinoite),nomo Arsenoite (= nomo Arsinoite),789733,,,,Arsinoe,,,,Pleiades,,,uncertain (another good variant exists),,,,,,
6926,HD003129/1,HD003129,Aesaonensis (= Aesonensis),Aesonensis,246147,,42.117837,1.0440565,Aeso,,,,Pleiades,,,uncertain (name could be interpreted differently),,,,,,
6979,HD003158/1,HD003158,Segoviensis*,Segoviensis,236658,,40.949191,-4.119338,Segovia,,,,Pleiades,,,certain,,,,,,
6981,HD003159/1,HD003159,Patriciensis*,Patriciensis,256128,,37.884683,-4.779171,Corduba/col. Patricia,,,,Pleiades,,,certain,,,,,,
7199,HD003277/1,HD003277,Lugdunum*,Lugdunum,99003,['Lugdunum'],52.212,4.393,Lugdunum,Y,,,Pleiades,,,certain,,,,,,
7211,HD003286/1,HD003286,Dalmata*,Dalmata,981522,,43.539561,16.483426,Dalmatia (province),,,,Pleiades,,,certain,,,,,,
7229,HD003296/1,HD003296,Arbuensis,Arbuensis,260489,,,,Arbua,,,,Pleiades,,,uncertain (name could be interpreted differently),,,,,,
7284,HD003317/2,HD003317,Cumis?,Cumis,432808,,40.8476741,14.05628153,Cumae/Kyme (Campanian),,,,Pleiades,,,uncertain (name could be interpreted differently),,,,,,
7378,HD003374/1,HD003374,Cremona,Cremona,383628,['Cremona'],45.133639,10.026149,Cremona,Y,,,Pleiades,,,certain,,,,,,
7379,HD003374/2,HD003374,Cremona,Cremona,383628,['Cremona'],45.133639,10.026149,Cremona,Y,,,Pleiades,,,certain,,,,,,
7394,HD003382/1,HD003382,Bergomi,Bergomi,383589,,45.694909,9.669949,Bergomum,,,,Pleiades,,,certain,,,,,,
7585,HD003462/1,HD003462,Calenos,Calenos,413058,,43.546796,12.648528,Cales,,,,Pleiades,,,certain,,,,,,
7690,HD003513/1,HD003513,Bononia,Bononia,393421,"['Felsina', 'Bononia']",44.4945737,11.3455467,Felsina/Bononia,Y,,,Pleiades,,,certain,,,,,,
7727,HD003535/1,HD003535,Bessus,Bessus,216733,,42.42940315,24.43016021,Bessi,,,,Pleiades,,,certain,,,,,,
7802,HD003571/2,HD003571,Badronensis*,Badronensis,256004,,38.501008,-5.14839,Baedro,,,,Pleiades,,,certain,,,,,,
7890,HD003625/1,HD003625,gente* Dareus,Dareus,952077,,37.68314,59.057,Dara/Dareuim,,,,Pleiades,,,wild guess,,,,,,
