,id,hd_nr,origo,origo_clean,pleiades_id,pleiades_title_list,pleiades_Latitude,pleiades_Longitude,pleiades_title
9062,HD004282/1,HD004282,Brixellum,Brixellum,383602.0,['Brixellum'],44.9002895,10.51527755,Brixellum
9099,HD004306/1,HD004306,Camunnus*,Camunnus,,,,,
9120,HD004318/1,HD004318,Calabro domo Lypias!,Calabro Lypias,,,,,
9159,HD004341/2,HD004341,Campanus,Campanus,,,,,
9240,HD004390/1,HD004390,Civis Belalitanus,Belalitanus,,,,,
9250,HD004396/1,HD004396,Iader,Iader,197312.0,['Iader'],44.115501,15.223778,Iader
9271,HD004402/1,HD004402,Foro* Iulio+,Foro Iulio,,,,,
9289,HD004410/1,HD004410,Parma*,Parma,383737.0,['Parma'],44.801507,10.327967,Parma
9304,HD004420/1,HD004420,Ituraius (= Ituraeus),Ituraeus,,,,,
9374,HD004451/1,HD004451,Saguntinus,Saguntinus,,,,,
9399,HD004467/1,HD004467,Addouiesis,Addouiesis,,,,,
9421,HD004477/1,HD004477,Pelagonia,Pelagonia,481952.0,['Pelagonia'],41.313278,21.610691,Pelagonia
9423,HD004479/1,HD004479,Verona,Verona,383816.0,['Verona'],45.4421295463,10.9957360051,Verona
9429,HD004481/1,HD004481,Pompeianus+*,Pompeianus,,,,,
9458,HD004496/1,HD004496,Placentia*,Placentia,383741.0,['Placentia'],45.0525855,9.6976645,Placentia
9495,HD004515/1,HD004515,Bononia,Bononia,393421.0,"['Felsina', 'Bononia']",44.4945737,11.3455467,Felsina/Bononia
9496,HD004516/1,HD004516,[---]tius,[---]tius,,,,,
9507,HD004521/1,HD004521,Mevaniola,Mevaniola,413201.0,['Mevaniola'],43.983123,11.903398,Mevaniola
9508,HD004522/1,HD004522,civis+ Trever+,Trever,,,,,
9511,HD004524/1,HD004524,Arimini,Arimini,,,,,
9516,HD004527/2,HD004527,Noraceus+,Noraceus,,,,,
9517,HD004527/3,HD004527,Tucalleus,Tucalleus,,,,,
