Column,origo_clean,id
870,NA,HD000441
871,NA,HD000441
872,NA,HD000442
873,NA,HD000442
874,NA,HD000442
875,NA,HD000442
876,NA,HD000443
877,NA,HD000443
878,NA,HD000445
879,NA,HD000445
880,NA,HD000445
881,NA,HD000445
882,NA,HD000446
883,NA,HD000446
884,NA,HD000446
885,NA,HD000447
886,NA,HD000448
887,NA,HD000449
888,NA,HD000450
889,NA,HD000450
890,NA,HD000450
891,NA,HD000451
892,NA,HD000451
893,NA,HD000452
894,NA,HD000453
895,NA,HD000453
896,NA,HD000454
897,NA,HD000454
898,NA,HD000455
899,NA,HD000456
900,NA,HD000457
901,NA,HD000457
902,NA,HD000458
903,NA,HD000459
904,NA,HD000460
905,NA,HD000460
906,NA,HD000461
907,NA,HD000461
908,NA,HD000461
909,NA,HD000462
910,NA,HD000462
911,NA,HD000462
912,NA,HD000462
913,NA,HD000463
914,NA,HD000463
915,NA,HD000463
916,NA,HD000464
917,NA,HD000464
918,NA,HD000466
919,NA,HD000466
920,NA,HD000467
921,NA,HD000467
922,NA,HD000469
923,NA,HD000470
924,NA,HD000470
925,NA,HD000470
926,NA,HD000471
927,NA,HD000472
928,NA,HD000473
929,NA,HD000474
930,NA,HD000476
931,NA,HD000477
932,NA,HD000477
933,NA,HD000477
934,NA,HD000477
935,NA,HD000478
936,NA,HD000478
937,NA,HD000478
938,NA,HD000478
939,NA,HD000478
940,NA,HD000478
941,NA,HD000479
942,NA,HD000480
943,NA,HD000480
944,NA,HD000480
945,NA,HD000480
946,NA,HD000480
947,NA,HD000480
948,NA,HD000480
949,NA,HD000480
950,NA,HD000480
951,NA,HD000480
952,NA,HD000480
953,NA,HD000480
954,NA,HD000480
955,NA,HD000480
956,NA,HD000480
957,NA,HD000480
958,NA,HD000480
959,NA,HD000480
960,NA,HD000480
961,NA,HD000480
962,NA,HD000480
963,NA,HD000480
964,NA,HD000480
965,NA,HD000480
966,NA,HD000480
967,NA,HD000480
968,NA,HD000480
969,NA,HD000480
970,NA,HD000480
971,NA,HD000480
972,NA,HD000480
973,NA,HD000480
974,NA,HD000480
975,NA,HD000480
976,NA,HD000480
977,NA,HD000480
978,NA,HD000480
979,NA,HD000480
980,NA,HD000480
981,NA,HD000480
982,NA,HD000480
983,NA,HD000480
984,NA,HD000480
985,NA,HD000480
986,NA,HD000480
987,NA,HD000480
988,NA,HD000480
989,NA,HD000480
990,NA,HD000480
991,NA,HD000480
992,NA,HD000480
993,NA,HD000480
994,NA,HD000480
995,NA,HD000480
996,NA,HD000480
997,NA,HD000482
998,NA,HD000484
999,NA,HD000484
1000,NA,HD000486
1001,NA,HD000487
1002,NA,HD000487
1003,NA,HD000487
1004,NA,HD000487
1005,NA,HD000488
1006,NA,HD000488
1007,NA,HD000489
1008,NA,HD000489
1009,NA,HD000489
1010,NA,HD000489
1011,NA,HD000490
1012,NA,HD000490
1013,NA,HD000490
1014,NA,HD000491
1015,NA,HD000492
1016,Volubilis,HD000493
1017,NA,HD000494
1018,NA,HD000494
1019,NA,HD000496
1020,NA,HD000497
1021,NA,HD000497
1022,NA,HD000497
1023,NA,HD000498
1024,NA,HD000499
1025,NA,HD000499
1026,NA,HD000502
1027,NA,HD000502
1028,NA,HD000502
1029,NA,HD000503
1030,NA,HD000503
1031,NA,HD000505
1032,NA,HD000505
1033,NA,HD000505
1034,NA,HD000506
1035,NA,HD000508
1036,NA,HD000509
1037,NA,HD000511
1038,NA,HD000511
1039,NA,HD000511
1040,NA,HD000514
1041,NA,HD000514
1042,NA,HD000515
1043,NA,HD000517
1044,NA,HD000518
1045,NA,HD000520
1046,NA,HD000521
1047,NA,HD000521
1048,NA,HD000521
1049,NA,HD000521
1050,NA,HD000521
1051,NA,HD000523
1052,NA,HD000524
1053,NA,HD000525
1054,NA,HD000527
1055,NA,HD000527
1056,NA,HD000529
1057,NA,HD000529
1058,NA,HD000529
1059,NA,HD000529
1060,NA,HD000529
1061,NA,HD000530
1062,Hemesa,HD000532
1063,NA,HD000532
1064,NA,HD000532
1065,NA,HD000533
1066,NA,HD000533
1067,NA,HD000535
1068,NA,HD000535
1069,NA,HD000535
1070,NA,HD000535
1071,NA,HD000535
1072,NA,HD000535
1073,NA,HD000535
1074,NA,HD000535
1075,NA,HD000535
1076,NA,HD000535
1077,NA,HD000536
1078,NA,HD000536
1079,NA,HD000537
1080,NA,HD000537
1081,NA,HD000538
1082,NA,HD000538
1083,NA,HD000538
1084,NA,HD000538
1085,NA,HD000538
1086,Eravisca,HD000538
1087,NA,HD000538
1088,Eravisca,HD000538
1089,NA,HD000538
1090,NA,HD000538
1091,NA,HD000538
1092,NA,HD000538
1093,NA,HD000538
1094,NA,HD000538
1095,NA,HD000538
1096,NA,HD000538
1097,NA,HD000539
1098,NA,HD000539
1099,NA,HD000539
1100,NA,HD000540
1101,NA,HD000541
1102,NA,HD000542
1103,NA,HD000543
1104,NA,HD000544
1105,NA,HD000545
1106,NA,HD000545
1107,NA,HD000546
1108,NA,HD000547
1109,NA,HD000548
1110,NA,HD000548
1111,NA,HD000548
1112,NA,HD000548
1113,NA,HD000548
1114,NA,HD000549
1115,NA,HD000549
1116,NA,HD000550
1117,NA,HD000550
1118,NA,HD000550
1119,NA,HD000551
1120,NA,HD000552
1121,NA,HD000553
1122,NA,HD000554
1123,NA,HD000554
1124,NA,HD000556
1125,NA,HD000557
1126,NA,HD000557
1127,NA,HD000558
1128,NA,HD000559
1129,NA,HD000560
1130,NA,HD000562
1131,NA,HD000562
1132,NA,HD000562
1133,NA,HD000563
1134,NA,HD000563
1135,NA,HD000565
1136,NA,HD000565
1137,NA,HD000565
1138,NA,HD000566
1139,NA,HD000566
1140,NA,HD000568
1141,NA,HD000568
1142,NA,HD000569
1143,NA,HD000569
1144,colonia Agrippinensium,HD000570
1145,NA,HD000570
1146,NA,HD000571
1147,NA,HD000572
1148,NA,HD000572
1149,NA,HD000572
1150,NA,HD000573
1151,NA,HD000573
1152,NA,HD000574
1153,NA,HD000574
1154,NA,HD000575
1155,NA,HD000575
1156,NA,HD000576
1157,NA,HD000576
1158,NA,HD000576
1159,NA,HD000576
1160,NA,HD000577
1161,NA,HD000577
1162,NA,HD000577
1163,NA,HD000578
1164,NA,HD000578
1165,NA,HD000579
1166,NA,HD000579
1167,NA,HD000580
1168,NA,HD000580
1169,NA,HD000580
1170,NA,HD000581
1171,NA,HD000582
1172,NA,HD000582
1173,NA,HD000583
1174,NA,HD000583
1175,NA,HD000584
1176,NA,HD000585
1177,NA,HD000586
1178,NA,HD000586
1179,NA,HD000587
1180,NA,HD000588
1181,NA,HD000588
1182,NA,HD000588
1183,NA,HD000588
1184,NA,HD000589
1185,NA,HD000589
1186,NA,HD000589
1187,NA,HD000589
1188,NA,HD000589
1189,NA,HD000589
1190,NA,HD000590
1191,NA,HD000591
1192,NA,HD000591
1193,NA,HD000592
1194,NA,HD000592
1195,NA,HD000593
1196,NA,HD000593
1197,NA,HD000594
1198,NA,HD000594
1199,NA,HD000595
1200,NA,HD000595
1201,NA,HD000595
1202,NA,HD000596
1203,NA,HD000597
1204,NA,HD000598
1205,NA,HD000598
1206,NA,HD000598
1207,NA,HD000599
1208,Arretio,HD000600
1209,NA,HD000601
1210,NA,HD000602
1211,NA,HD000602
1212,NA,HD000603
1213,NA,HD000604
1214,NA,HD000605
1215,NA,HD000605
1216,NA,HD000605
1217,NA,HD000606
1218,NA,HD000607
1219,NA,HD000607
1220,NA,HD000608
1221,NA,HD000608
1222,NA,HD000609
1223,NA,HD000609
1224,NA,HD000610
1225,NA,HD000611
1226,NA,HD000612
1227,NA,HD000612
1228,NA,HD000612
1229,NA,HD000613
1230,NA,HD000613
1231,NA,HD000613
1232,NA,HD000615
1233,NA,HD000615
1234,NA,HD000615
1235,NA,HD000616
1236,NA,HD000616
1237,NA,HD000617
1238,NA,HD000618
1239,NA,HD000618
1240,NA,HD000619
1241,NA,HD000619
1242,NA,HD000619
1243,NA,HD000619
1244,NA,HD000620
1245,NA,HD000620
1246,NA,HD000620
1247,NA,HD000620
1248,NA,HD000620
1249,NA,HD000620
1250,NA,HD000621
1251,NA,HD000621
1252,NA,HD000621
1253,NA,HD000622
1254,NA,HD000622
1255,NA,HD000623
1256,NA,HD000623
1257,NA,HD000623
1258,NA,HD000623
1259,NA,HD000624
1260,NA,HD000624
1261,NA,HD000625
1262,NA,HD000625
1263,NA,HD000626
1264,NA,HD000626
1265,NA,HD000627
1266,NA,HD000627
1267,NA,HD000628
1268,NA,HD000628
1269,NA,HD000628
1270,NA,HD000630
1271,NA,HD000631
1272,NA,HD000631
1273,NA,HD000631
1274,NA,HD000632
1275,NA,HD000632
1276,NA,HD000633
1277,NA,HD000633
1278,NA,HD000634
1279,NA,HD000634
1280,NA,HD000634
1281,NA,HD000635
1282,NA,HD000635
1283,NA,HD000635
1284,NA,HD000635
1285,NA,HD000636
1286,NA,HD000637
1287,NA,HD000638
1288,NA,HD000638
1289,NA,HD000638
1290,NA,HD000640
1291,NA,HD000640
1292,NA,HD000641
1293,NA,HD000642
1294,NA,HD000643
1295,NA,HD000645
1296,NA,HD000646
1297,NA,HD000646
1298,NA,HD000647
1299,NA,HD000647
1300,NA,HD000649
1301,NA,HD000649
1302,NA,HD000650
1303,NA,HD000651
1304,NA,HD000652
1305,NA,HD000653
1306,NA,HD000655
1307,NA,HD000655
1308,NA,HD000655
1309,NA,HD000656
1310,Trevir,HD000658
1311,NA,HD000658
1312,NA,HD000659
1313,NA,HD000661
1314,NA,HD000662
1315,NA,HD000662
1316,NA,HD000662
1317,NA,HD000662
1318,NA,HD000662
1319,NA,HD000662
1320,NA,HD000663
1321,NA,HD000663
1322,NA,HD000663
1323,NA,HD000664
1324,NA,HD000664
1325,NA,HD000666
1326,NA,HD000666
1327,NA,HD000666
1328,NA,HD000667
1329,NA,HD000668
1330,NA,HD000668
1331,NA,HD000668
1332,NA,HD000668
1333,NA,HD000668
1334,NA,HD000668
1335,NA,HD000668
1336,NA,HD000668
1337,NA,HD000668
1338,NA,HD000668
1339,NA,HD000668
1340,NA,HD000668
1341,NA,HD000668
1342,NA,HD000668
1343,NA,HD000668
1344,NA,HD000668
1345,NA,HD000668
1346,NA,HD000668
